account,entry_collect,entry_collect.OpenLessPreMktLow,entry_collect.SPYGap,entry_collect.SPYLastLessOpen,entry_collect.SPYNetpercChange,entry_collect.VWAPLessLast,entry_collect.breakTime,entry_collect.dayHighLessPreMktLow,entry_collect.gap,entry_collect.highLessOpen,entry_collect.preMktBars,entry_collect.preMktLowLessLast,entry_collect.preMktRange,entry_collect.rvol,entry_collect.spread,entry_collect.vxxRVOL,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
Cloud,,0.1617086796,0.2005171835,-0.0388085039,0.1169800758,0.0277256274,2016-10-19 09:33:00.359000,0.2555000099,-25.1968060957,0.0937913303,20.0,0.1617086796,1.1319607572,30.2141265869,0.1034934562,3.5284686089,0.29,-65.919921875,40.0,-64.0,-1.0,2016-10-19 09:33:00.360700,,0.23,41.0299987793,64.0,1.0,2016-10-19 13:24:17.122700,-64.0,-65.919921875,ACHC
Cloud,,0.2318043503,-0.0331221257,0.0289787019,-0.0020980835,0.1860274206,2017-04-26 09:31:29.449000,0.2897554379,-35.9315617591,0.0579510876,88.0,0.1912417471,6.1842337316,106.626441956,0.091063739,3.5755546093,0.4,142.679824829,44.0299987793,-82.0,-1.0,2017-04-26 09:31:29.450700,,0.31,42.2900009155,82.0,1.0,2017-04-26 15:45:00.386700,-82.0,142.679824829,STX
Cloud,,0.1007336201,-0.0237070809,0.0237070809,0.0,0.1130059168,2017-04-26 09:31:37.505000,0.2133185202,-13.3278698275,0.1125849001,89.0,0.00592564,1.1199199705,71.5601882935,0.00592564,3.7019753456,0.26,83.1899909973,24.0,-59.0,-1.0,2017-04-26 09:31:37.506700,,0.22,22.5900001526,59.0,1.0,2017-04-26 15:45:00.288700,-59.0,83.1899909973,X
Cloud,,0.191619349,-0.0766652831,0.0958169843,0.0041842461,0.2232392019,2017-04-26 09:31:00.261000,0.5173773591,-42.2108210766,0.3257580101,52.0,0.1532976721,1.2455440429,98.2813262939,0.0574879976,3.0857954025,0.82,24.83020401,22.3400001526,-191.0,-1.0,2017-04-26 09:31:00.262700,,0.7,22.2099990845,191.0,1.0,2017-04-26 15:45:00.485700,-191.0,24.83020401,CREE
Cloud,,0.0,-0.2722524644,0.2195601682,-0.027680397,0.0721780206,2016-07-29 09:32:01.848000,0.1668678719,-56.7443242261,0.1668678719,53.0,0.0175618653,0.5093811982,6.0796189308,0.0175618653,2.916831255,0.46,-52.1998672485,65.7300033569,-87.0,-1.0,2016-07-29 09:32:01.849700,,0.32,66.3300018311,87.0,1.0,2016-07-29 10:44:07.556700,-87.0,-52.1998672485,XLE
Cloud,,-0.1754600114,-0.2862766753,0.2400998361,-0.0230669975,0.040518458,2016-07-29 09:32:49.477000,0.0184700311,-48.0275755838,0.1939300425,21.0,0.1939300425,0.8496038173,17.2912502289,0.0554100933,3.2013278008,0.46,53.3598175049,53.0099983215,-92.0,-1.0,2016-07-29 09:32:49.478700,,0.34,52.4300003052,92.0,1.0,2016-07-29 15:45:09.248700,-92.0,53.3598175049,CBS
Cloud,,0.2782229174,-0.2157684246,-0.3179690485,-0.3663897514,0.0002905232,2017-10-25 10:18:12.512000,0.5394123976,-59.7493859554,0.2611894801,21.0,0.0113541809,1.1980675204,5.1735019684,0.0227126938,2.2094478607,0.35,70.5596923828,106.449996948,-56.0,-1.0,2017-10-25 10:18:12.513700,,0.21,105.190002441,56.0,1.0,2017-10-25 15:45:00.064700,-56.0,70.5596923828,EXP
Cloud,,0.0,-0.6397711708,0.0842101629,-0.128620863,0.0045313044,2017-10-25 09:35:56.423000,0.4040604253,-29.4560838593,0.4040604253,20.0,0.0841780511,0.8923021129,5.0945138931,0.0168330413,4.3240380287,0.71,-62.1598205566,18.0300006866,-168.0,-1.0,2017-10-25 09:35:56.424700,,0.62,18.3999996185,168.0,1.0,2017-10-25 09:54:59.070700,-168.0,-62.1598205566,RRC
Cloud,,0.1196697669,-0.2526443466,0.0598336153,-0.1130402088,0.2233001495,2017-10-25 09:35:02.331000,0.678139669,-20.4478986104,0.5584699021,87.0,0.0066498703,1.8748626994,156.139343262,0.0066498703,4.0674004555,0.3,-62.0399093628,32.0,-66.0,-1.0,2017-10-25 09:35:02.332700,,0.25,32.9399986267,66.0,1.0,2017-10-25 09:35:48.017700,-66.0,-62.0399093628,ACHC
Cloud,,-0.1092620368,-0.3193828181,0.0924650706,-0.1052320004,0.0079902486,2017-10-25 09:34:31.028000,0.1176653291,-35.1990555915,0.2269273659,22.0,0.1260718275,1.4540132353,6.2053198814,0.0252162892,4.9120388031,0.4,66.3600769043,43.0400009155,-84.0,-1.0,2017-10-25 09:34:31.029700,,0.31,42.25,84.0,1.0,2017-10-25 15:45:00.098700,-84.0,66.3600769043,HES
Cloud,,-0.0746548056,0.0497698704,0.1555272853,0.3117918968,0.3083023241,2016-06-08 09:50:09.712000,0.7745252164,-36.4105321644,0.849180022,20.0,0.0031112102,1.0824685768,8.1833114624,0.0279937722,0.8609054089,0.2,-53.6301040649,120.489997864,-31.0,-1.0,2016-06-08 09:50:09.713700,,0.11,122.220001221,31.0,1.0,2016-06-08 12:16:37.900700,-31.0,-53.6301040649,FFIV
Cloud,,-0.1740075108,-0.0105015188,-0.0142507532,-0.0679850578,0.0251245885,2017-08-21 09:32:24.850000,0.2895104837,-34.5019200378,0.4635179945,20.0,0.1515052372,0.8355322366,6.3851361275,0.0720022397,4.9369716644,0.13,32.0999908447,236.520004272,-15.0,-1.0,2017-08-21 09:32:24.851700,,0.05,234.380004883,15.0,1.0,2017-08-21 15:45:00.136700,-15.0,32.0999908447,ULTA
Cloud,,0.3742223901,-0.1871303139,-0.5078785242,-0.1071274281,0.2285574426,2017-08-21 09:33:05.284000,0.4009531071,-36.5557982766,0.026730717,81.0,0.0133653585,0.6949833463,58.9968986511,0.026730717,3.5923478603,1.1,-53.4002037048,13.8999996185,-267.0,-1.0,2017-08-21 09:33:05.285700,,0.99,14.1000003815,267.0,1.0,2017-08-21 09:36:57.971700,-267.0,-53.4002037048,INFY
Cloud,,0.1859992943,-0.2861520887,0.0143041114,-0.6897866726,0.0014681059,2018-02-05 09:43:01.384000,0.1917213755,-31.4782620679,0.0057220812,89.0,0.1645365777,0.6438421996,5.4005231857,0.0300447467,4.8974280357,0.12,-65.5198974609,224.550003052,-14.0,-1.0,2018-02-05 09:43:01.385700,,0.05,229.229995728,14.0,1.0,2018-02-05 10:08:25.670700,-14.0,-65.5198974609,NVDA
Cloud,,0.0271509264,2.8779256962,-0.8959236066,0.2635717392,0.0638872721,2018-01-17 09:35:01.042000,0.1357520426,-39.7526083506,0.1086011162,24.0,0.1086011162,0.5430055811,4.9540729523,0.0271509264,4.4746012688,1.12,-62.3301343918,14.9499998093,-271.0,-1.0,2018-01-17 09:35:01.043700,,1.0,15.1800003052,271.0,1.0,2018-01-17 09:47:58.519700,-271.0,-62.3301343918,GG
Cloud,,0.2265373466,2.4012811832,-0.7475399733,0.2635717392,0.2579626803,2018-01-17 09:35:01.025000,0.3398081803,-38.983688287,0.1132708337,89.0,0.1812290131,1.2232990792,10.6828098297,0.0226498459,4.4746012688,0.95,22.5996551514,17.4599990845,-226.0,-1.0,2018-01-17 09:35:01.026700,,0.84,17.3600006104,226.0,1.0,2018-01-17 15:45:00.054700,-226.0,22.5996551514,GE
Cloud,,-0.1193955165,0.7163635102,-0.0251409448,0.5668640137,0.0051545692,2016-01-08 09:40:06.715000,-0.0125704724,-39.3237453967,0.1068250441,24.0,0.1684069349,0.5278447784,5.7196855545,0.0502723011,3.2820134163,0.32,26.6597824097,64.0899963379,-62.0,-1.0,2016-01-08 09:40:06.716700,,0.23,63.6599998474,62.0,1.0,2016-01-08 15:45:00.125700,-62.0,26.6597824097,GOLD
Cloud,,0.1055450827,0.4644021216,-0.035183931,0.2574920654,0.1619358307,2017-03-15 09:31:10.177000,0.5558728267,-15.4017471849,0.450327744,34.0,0.0140730356,0.9428719105,36.6126327515,0.1266546361,3.0693676472,0.3,-53.2000160217,23.1299991608,-70.0,-1.0,2017-03-15 09:31:10.178700,,0.26,23.8899993896,70.0,1.0,2017-03-15 09:35:38.539700,-70.0,-53.2000160217,AKAO
Cloud,,0.0689949639,0.3843911137,-0.354808684,0.0141263008,0.3391281185,2016-10-31 10:48:15.968000,0.9166266988,-25.8088588436,0.8476317348,89.0,0.0098545435,1.4192930136,16.1019935608,0.0098564234,0.8478483558,0.43,52.9200897217,27.1200008392,-98.0,-1.0,2016-10-31 10:48:15.969700,,0.36,26.5799999237,98.0,1.0,2016-10-31 15:45:00.051700,-98.0,52.9200897217,CTL
Cloud,,0.3140843183,0.4711218693,-0.030192794,0.1717329025,0.390634396,2016-10-31 09:39:51.178000,0.6402466759,-60.4633813513,0.3261623576,56.0,0.0120780392,0.8697662868,5.1188087463,0.0120780392,1.3410788774,0.59,51.6000366211,50.6100006104,-120.0,-1.0,2016-10-31 09:39:51.179700,,0.44,50.1800003052,120.0,1.0,2016-10-31 15:45:00.078700,-120.0,51.6000366211,NKE
Cloud,,0.3139750147,-0.0305251638,-0.0239842949,-0.2134203911,0.0130245844,2017-03-23 09:33:11.181000,0.3139750147,-90.7274285856,0.0,67.0,0.1635283762,1.0858241597,19.8603858948,0.1046539022,4.0949840546,0.22,-8.8000488281,837.010009766,-10.0,-1.0,2017-03-23 09:33:11.182700,,0.04,837.890014648,10.0,1.0,2017-03-23 15:45:00.290700,-10.0,-8.8000488281,GOOGL
Cloud,,0.3359150298,-0.032545094,-0.02673309,-0.2176880836,0.0230702321,2017-03-23 09:33:15.212000,0.3492594051,-94.4272808363,0.0133443753,58.0,0.0081371603,1.2355572001,15.0749120712,0.0895016688,4.1010432243,0.24,-49.9397583008,817.940002441,-11.0,-1.0,2017-03-23 09:33:15.213700,,0.04,822.479980469,11.0,1.0,2017-03-23 09:36:19.556700,-11.0,-49.9397583008,GOOG
Cloud,,0.101941841,0.3822896001,-0.084956125,0.1528859138,0.0048564849,2017-02-07 09:35:28.304000,0.1189307975,-20.5435589109,0.0169889566,16.0,0.0594653988,0.5351918296,4.0245542526,0.0339811538,1.6329232454,0.37,17.6399230957,25.1499996185,-84.0,-1.0,2017-02-07 09:35:28.305700,,0.31,24.9400005341,84.0,1.0,2017-02-07 15:45:00.212700,-84.0,17.6399230957,RH
